story_id,user_id,rating,publication_year,title,timestamp
1,189,3,2019,aarjavajeevulu,2025
1,177,1,2019,aarjavajeevulu,2019
1,98,5,2019,aarjavajeevulu,2024
1,155,1,2019,aarjavajeevulu,2025
1,187,1,2019,aarjavajeevulu,2023
1,166,3,2019,aarjavajeevulu,2022
1,105,4,2019,aarjavajeevulu,2023
1,146,2,2019,aarjavajeevulu,2025
1,28,3,2019,aarjavajeevulu,2023
1,44,1,2019,aarjavajeevulu,2024
1,27,4,2019,aarjavajeevulu,2021
1,45,1,2019,aarjavajeevulu,2021
1,56,4,2019,aarjavajeevulu,2023
1,8,3,2019,aarjavajeevulu,2021
1,73,2,2019,aarjavajeevulu,2020
1,168,5,2019,aarjavajeevulu,2022
1,17,3,2019,aarjavajeevulu,2024
1,135,1,2019,aarjavajeevulu,2023
1,63,3,2019,aarjavajeevulu,2021
1,182,3,2019,aarjavajeevulu,2024
1,24,4,2019,aarjavajeevulu,2024
1,123,3,2019,aarjavajeevulu,2025
1,26,4,2019,aarjavajeevulu,2019
1,79,3,2019,aarjavajeevulu,2021
1,138,4,2019,aarjavajeevulu,2023
1,71,3,2019,aarjavajeevulu,2021
1,92,3,2019,aarjavajeevulu,2023
1,121,3,2019,aarjavajeevulu,2021
1,143,3,2019,aarjavajeevulu,2020
1,158,4,2019,aarjavajeevulu,2019
1,25,5,2019,aarjavajeevulu,2020
1,51,3,2019,aarjavajeevulu,2019
1,118,5,2019,aarjavajeevulu,2019
1,23,4,2019,aarjavajeevulu,2024
1,196,4,2019,aarjavajeevulu,2023
1,184,4,2019,aarjavajeevulu,2019
1,3,5,2019,aarjavajeevulu,2023
1,150,5,2019,aarjavajeevulu,2025
1,40,4,2019,aarjavajeevulu,2025
1,181,3,2019,aarjavajeevulu,2019
1,55,1,2019,aarjavajeevulu,2020
1,60,3,2019,aarjavajeevulu,2019
1,80,4,2019,aarjavajeevulu,2023
1,134,4,2019,aarjavajeevulu,2019
1,78,4,2019,aarjavajeevulu,2022
1,82,4,2019,aarjavajeevulu,2022
1,70,5,2019,aarjavajeevulu,2021
1,129,1,2019,aarjavajeevulu,2025
1,16,4,2019,aarjavajeevulu,2019
1,101,4,2019,aarjavajeevulu,2019
1,140,3,2019,aarjavajeevulu,2019
1,167,2,2019,aarjavajeevulu,2020
1,132,4,2019,aarjavajeevulu,2024
1,164,3,2019,aarjavajeevulu,2019
1,43,2,2019,aarjavajeevulu,2024
1,154,3,2019,aarjavajeevulu,2025
1,180,3,2019,aarjavajeevulu,2025
1,95,4,2019,aarjavajeevulu,2022
1,6,5,2019,aarjavajeevulu,2023
1,9,2,2019,aarjavajeevulu,2024
1,2,2,2019,aarjavajeevulu,2021
1,35,2,2019,aarjavajeevulu,2021
1,11,3,2019,aarjavajeevulu,2020
1,160,3,2019,aarjavajeevulu,2025
1,14,3,2019,aarjavajeevulu,2019
1,49,2,2019,aarjavajeevulu,2020
1,120,2,2019,aarjavajeevulu,2022
1,97,3,2019,aarjavajeevulu,2023
1,125,3,2019,aarjavajeevulu,2022
1,39,5,2019,aarjavajeevulu,2021
1,83,3,2019,aarjavajeevulu,2025
1,156,3,2019,aarjavajeevulu,2019
1,178,1,2019,aarjavajeevulu,2024
1,124,3,2019,aarjavajeevulu,2023
1,197,3,2019,aarjavajeevulu,2022
1,190,3,2019,aarjavajeevulu,2020
1,170,3,2019,aarjavajeevulu,2021
1,193,4,2019,aarjavajeevulu,2025
1,185,3,2019,aarjavajeevulu,2023
1,4,3,2019,aarjavajeevulu,2019
1,194,4,2019,aarjavajeevulu,2025
1,200,2,2019,aarjavajeevulu,2025
1,113,3,2019,aarjavajeevulu,2019
1,104,4,2019,aarjavajeevulu,2023
1,175,3,2019,aarjavajeevulu,2022
1,192,4,2019,aarjavajeevulu,2020
1,30,3,2019,aarjavajeevulu,2021
1,94,3,2019,aarjavajeevulu,2022
1,161,3,2019,aarjavajeevulu,2025
1,12,2,2019,aarjavajeevulu,2021
1,81,3,2019,aarjavajeevulu,2019
1,89,2,2019,aarjavajeevulu,2020
1,62,2,2019,aarjavajeevulu,2024
1,7,4,2019,aarjavajeevulu,2025
1,64,3,2019,aarjavajeevulu,2020
1,31,3,2019,aarjavajeevulu,2024
1,147,4,2019,aarjavajeevulu,2020
1,19,3,2019,aarjavajeevulu,2023
1,67,2,2019,aarjavajeevulu,2022
1,174,2,2019,aarjavajeevulu,2022
1,183,4,2019,aarjavajeevulu,2025
1,144,1,2019,aarjavajeevulu,2024
